app_id,app_name,app_description,app_version,category,subcategory,vendor_name,vendor_contact_email,app_owner,technical_lead,business_owner,department,annual_cost,license_type,cost_center,in_use,user_count,deployment_type,environment,platform,programming_language,database_type,depends_on_apps,integrates_with_apps,compliance_requirements,security_classification,data_sensitivity,installation_date,last_updated,end_of_life_date,renewal_date,uptime_sla,criticality,tags,notes,created_at,updated_at
30,"Carroll, Holmes and Miller Foot App",Group own level five.,4.0.4,IT Operations,Ticketing,Adams-Morrison,steven37@example.com,Sarah Peterson,Shannon Richmond,Lindsey Smith,Research_scientist_(maths) Dept,168576.91,subscription,CC6226,True,3745.0,on_premise,development,desktop,Haskell,PostgreSQL,,"Salesforce,Power BI",PCI DSS,internal,high,2021-06-11,2024-11-30,,2025-08-31,99.84,high,"us,decide,economic,evening",Bag inside bring use husband wind. Quite performance culture these order those.,2021-03-24T06:10:27.671872,2025-08-01T06:10:27.671876
31,Jenkins Inc Young App,Summer way dark hot picture one.,3.6.1,Marketing,Social Media Management,Washington-Hickman,perezbradley@example.net,Ray Davis,Joshua Gonzales,John Salas,Housing_manager/officer Dept,485140.65,subscription,CC1954,True,,cloud,development,web,Python,,"Jira,Workday,Postman","SAP ERP,Notion",PCI DSS,restricted,critical,2022-04-19,2022-07-17,,2026-12-10,99.33,low,"treat,show",Born truth including new. Street agree practice not body hard box protect.,2025-02-22T06:10:27.672435,2025-08-01T06:10:27.672439
32,"Smith, Boone and Robertson Color App",Receive because bed piece up statement.,2.5.9,Design,CAD,Castillo-Simmons,dsimpson@example.net,Kathleen Ward,Christina Brown,Monica Rivera,Adult_nurse Dept,60925.11,subscription,CC6904,True,,cloud,production,web,Perl,MongoDB,Google Analytics,Confluence,GDPR,public,critical,2024-02-24,2025-04-25,,2027-02-06,99.43,high,"admit,others",Vote positive politics involve table bag paper discussion.,2023-08-05T06:10:27.673041,2025-08-01T06:10:27.673044
33,"Coleman, Meyers and Buck Another App",Beautiful several whom return challenge.,5.8.3,Productivity,Project Management,"Ball, Moore and Owens",juliadelgado@example.org,Kevin Gonzales,Justin Chandler MD,David Fox,Financial_trader Dept,127897.18,open_source,CC1864,True,3111.0,cloud,staging,api,,,Miro,,"ISO 27001,GDPR,HIPAA",internal,critical,2024-04-27,2025-07-04,,2025-09-03,99.49,high,morning,Yard some young through billion drive network.,2022-08-28T06:10:27.673718,2025-08-01T06:10:27.673721
34,Shaw LLC Near App,It back here management computer reflect.,5.6.4,Productivity,Office Suite,"Trevino, Sawyer and Cervantes",kdurham@example.com,Jeremy Hoffman,Elizabeth Williams,Michael Stephenson,Senior_tax_professional/tax_inspector Dept,38266.1,perpetual,CC1945,True,,on_premise,production,mobile,Ruby,,"Confluence,AWS Console,Gmail",Zoom,"HIPAA,SOX",confidential,critical,2021-11-09,2022-12-08,,2025-10-15,99.49,medium,"probably,identify,certain",Suddenly support company sure pull. Yard cover we PM drop.,2023-03-17T06:10:27.674269,2025-08-01T06:10:27.674272
35,Sanders LLC Whose App,Bag heart strong relate seem popular grow.,4.2.4,Security,Antivirus,"Ramos, Bennett and Marsh",cowanjason@example.org,Deborah Weaver,Catherine Nguyen,Amanda Stein,"Nurse,_learning_disability Dept",7234.59,open_source,CC4274,False,1887.0,cloud,production,mobile,JavaScript,Oracle,"Adobe Photoshop,Microsoft Teams,VS Code",Salesforce,"PCI DSS,HIPAA",restricted,medium,2021-07-15,2023-04-13,,2025-11-15,99.73,medium,"arm,lay",Radio quality thing performance.,2022-03-25T06:10:27.674868,2025-08-01T06:10:27.674870
36,"Wiggins, Rice and Coleman East App",Strong it soon.,3.9.7,Security,MFA,Gordon-Hancock,kara80@example.org,Anthony Rivera,Wesley Rivera,Ashley Mclean,"Investment_banker,_corporate Dept",154288.87,open_source,CC9529,True,3901.0,on_premise,staging,web,Python,,,AWS Console,"ISO 27001,GDPR,PCI DSS",internal,critical,2025-03-20,2025-06-04,,2027-02-14,99.01,critical,"level,defense,man,office",Entire appear despite benefit development learn. Practice piece civil personal order.,2025-02-15T06:10:27.675464,2025-08-01T06:10:27.675467
37,"Wilson, Jones and Petty Crime App",Trade brother treat.,2.1.5,Development,Version Control,Curtis-Montoya,feliciadavenport@example.net,Dorothy Mendoza,Scott Hernandez,Kyle Case,Barrister Dept,1166.05,perpetual,CC9178,True,,cloud,staging,api,Haskell,Neo4j,"Gmail,Trello,Google Analytics","Jira,Figma","PCI DSS,GDPR",internal,high,2022-05-19,2025-04-19,,2027-06-09,99.19,medium,"nation,ever,actually,join,to",Program choose learn.,2024-03-21T06:10:27.676097,2025-08-01T06:10:27.676100
38,Duran and Sons Minute App,Gun although laugh thank magazine.,3.2.7,Marketing,Analytics,King and Sons,nealjustin@example.net,Angelica Bowers,Mark Torres,Daniel Gilbert,Medical_laboratory_scientific_officer Dept,416716.82,perpetual,CC5002,True,2596.0,hybrid,staging,desktop,Python,MySQL,Google Cloud Console,Power BI,,confidential,medium,2023-05-02,2023-09-25,,2025-10-25,99.55,medium,"nation,person,individual,war,full",Early rest from build system again visit.,2023-05-13T06:10:27.676606,2025-08-01T06:10:27.676609
39,Gomez-Powell Fight App,Score loss prevent my.,5.0.7,Security,Antivirus,"Jones, Price and King",aprilrogers@example.org,Edward Cooper,Todd Hood,Mark Hart,Field_trials_officer Dept,213903.52,subscription,CC9585,True,3333.0,on_premise,staging,web,C++,Oracle,Google Analytics,"SAP ERP,GitLab,GitHub","ISO 27001,GDPR,PCI DSS",internal,critical,2022-10-27,2023-03-13,,2027-07-20,99.13,high,work,Especially admit thing method put customer. Throw young behind ground.,2021-06-11T06:10:27.677247,2025-08-01T06:10:27.677249
40,Wilson Group Stuff App,Style level lay.,1.3.1,IT Operations,Asset Management,Stewart and Sons,fprice@example.com,Thomas Chapman,Tyler Smith,Kelly Turner,Amenity_horticulturist Dept,136040.49,perpetual,CC8478,True,3515.0,on_premise,production,desktop,Rust,,GitHub,,PCI DSS,public,medium,2022-10-02,2023-12-18,,2026-07-26,99.43,low,song,Money from control.,2022-10-05T06:10:27.677726,2025-08-01T06:10:27.677729
41,Mercado-King Consider App,Beyond resource affect.,1.9.5,IT Operations,Monitoring,Mullins-Schwartz,ssilva@example.net,Elizabeth Barrett,Melissa Drake,Lisa Jackson,"Engineer,_materials Dept",140774.82,freemium,CC4807,False,4402.0,cloud,staging,desktop,,Oracle,"Notion,Slack,AWS Console",,"ISO 27001,PCI DSS,HIPAA",restricted,high,2024-10-19,2025-01-26,,2026-02-09,99.54,medium,"network,of",Fly control of claim wait per. Smile statement sit gun price measure big.,2023-04-29T06:10:27.678301,2025-08-01T06:10:27.678305
42,Carney Ltd Also App,Camera same opportunity doctor young.,1.0.6,Security,MFA,"Graham, Smith and Contreras",kendra76@example.com,Emma Trevino,Tanner Alexander,Jamie Rodriguez,Fisheries_officer Dept,384889.71,subscription,CC6443,True,2334.0,hybrid,development,mobile,C++,,"Okta,Postman,Trello","Figma,Workday",PCI DSS,public,high,2022-07-09,2024-02-01,,2025-10-26,99.88,medium,"rather,society,bar,event,green",As nothing Democrat which.,2021-06-13T06:10:27.678854,2025-08-01T06:10:27.678856
43,Jackson-Campbell Prove App,Statement agency go others near.,1.3.2,Communication,Messaging,Green PLC,john92@example.com,Jeremiah Cochran,Joseph Baker,Lori Hernandez,Tourism_officer Dept,205664.63,subscription,CC3561,True,1124.0,on_premise,development,mobile,,Oracle,"Azure AD,AWS Console","Jira,Trello","ISO 27001,HIPAA,GDPR",internal,critical,2022-07-11,2022-12-03,,2025-11-26,99.53,medium,"civil,feel,majority,at,our",Stock protect thus bad decade. Treatment what even agree just kid story.,2023-02-12T06:10:27.679371,2025-08-01T06:10:27.679373
44,Vega-Lyons Draw App,Production these fish.,2.8.7,Security,Antivirus,Bradshaw-Wells,wlang@example.net,Ricardo Cook,Patricia Parker,Anthony Carr,"Education_officer,_museum Dept",397895.33,perpetual,CC1781,True,,hybrid,development,mobile,Go,,,"Tableau,Splunk,Google Analytics",ISO 27001,restricted,high,2025-05-29,2025-07-01,,2027-02-12,99.28,high,"close,focus",Sense listen much simple. Ten must current.,2025-03-19T06:10:27.679929,2025-08-01T06:10:27.679931
45,"Alexander, Hunter and Bell Agree App",Quality knowledge space while candidate question as.,2.8.6,IT Operations,Ticketing,"Hill, Ramirez and Estrada",yhodges@example.net,Robert Pope,Briana Mendoza,Travis Gregory,English_as_a_second_language_teacher Dept,172252.69,freemium,CC5505,True,1412.0,hybrid,production,mobile,,Oracle,"Zoom,Slack,Google Analytics","SAP ERP,GitHub",,confidential,critical,2023-06-01,2025-04-19,,2026-03-03,99.44,high,"hospital,Congress,take,stop,political",Provide drop require place nor.,2021-09-11T06:10:27.680572,2025-08-01T06:10:27.680574
46,"Taylor, Haney and Keller By App",Which opportunity bill marriage product place manager movement.,5.1.6,Marketing,Social Media Management,Collins LLC,bryan65@example.org,Brent Arias,David Castillo,Tamara Diaz,Bonds_trader Dept,61175.51,perpetual,CC3450,False,,cloud,development,mobile,PHP,PostgreSQL,"Mailchimp,Okta","Power BI,Jira,GitLab","SOX,PCI DSS,GDPR",public,low,2022-07-03,2023-05-25,,2026-05-16,99.61,low,"best,interesting",Arrive both really there necessary. Community why hard weight.,2022-09-09T06:10:27.681099,2025-08-01T06:10:27.681102
47,"Holmes, Fleming and Parsons Expert App",Over head only suddenly.,1.6.2,IT Operations,Asset Management,"Carlson, Allen and Burton",pauladuffy@example.org,Todd Edwards,Michael King,Rebecca Li,"Development_worker,_community Dept",274805.07,subscription,CC6161,True,4394.0,hybrid,production,mobile,,,"Google Analytics,Miro",,,public,medium,2023-08-22,2025-03-21,2025-02-19,2025-09-13,99.23,critical,property,Husband safe author whatever book. Operation west this though character somebody degree eat.,2024-04-05T06:10:27.681784,2025-08-01T06:10:27.681787
48,"Knapp, Williams and Green Seem App",Pm able mother religious father.,2.8.5,IT Operations,Asset Management,Craig-Mayo,mark02@example.com,Megan Mason,Gregory Ryan,Michael Snyder,Chartered_certified_accountant Dept,454779.94,freemium,CC3301,True,2789.0,on_premise,production,desktop,,MongoDB,"Miro,Asana",,"HIPAA,ISO 27001,PCI DSS",restricted,critical,2022-10-27,2023-09-18,2025-01-13,2025-09-07,99.71,low,"positive,my,little",Laugh tree course newspaper somebody less. Wide including major find little play.,2021-01-26T06:10:27.682361,2025-08-01T06:10:27.682363
49,Parker-Williams Of App,Appear serve design tell.,2.9.2,Marketing,Social Media Management,Munoz Group,ebrown@example.org,Jacqueline Cardenas,Stephanie Cochran,Wesley Gordon,"Engineer,_energy Dept",139684.33,freemium,CC7835,True,2449.0,on_premise,production,web,Haskell,,"Azure AD,SAP ERP,Confluence",AWS Console,,confidential,high,2023-02-08,2024-01-08,,2026-05-09,99.25,high,"successful,group,reach,provide,huge",Official deal hear road success first.,2021-09-30T06:10:27.682847,2025-08-01T06:10:27.682849
50,Berger-Harris House App,Customer specific offer open ready language other week.,2.3.4,Design,Video Editing,Woods-Gardner,heatherwhitehead@example.com,Randy Hays,Stephen Shaw,Christina Rodriguez,Marketing_executive Dept,111227.27,perpetual,CC7170,True,4863.0,hybrid,development,api,Java,Oracle,Mailchimp,Power BI,"HIPAA,PCI DSS,GDPR",restricted,high,2024-08-26,2025-06-14,,2026-01-11,99.45,medium,parent,Cultural find expert future wife.,2023-03-12T06:10:27.683414,2025-08-01T06:10:27.683416
51,Burton-Jones Ten App,Structure force still dog strategy.,2.6.2,Marketing,CRM,Logan LLC,itodd@example.net,Amy Bates,Lisa Williams,Pamela Morales,Herpetologist Dept,481989.4,freemium,CC3900,True,1891.0,hybrid,staging,desktop,Python,SQL Server,"Figma,Azure AD,Postman",Zoom,,restricted,high,2021-11-18,2022-08-26,,2026-12-04,99.13,low,"sell,another,idea,relationship,learn",Hour wide pick interesting artist pressure visit. Truth tend your.,2024-02-19T06:10:27.683915,2025-08-01T06:10:27.683917
